OutcomeType,AnimalType,SexuponOutcome,Breed,Color,mix_breed,clean_age,weekday,hour,day,month,Sex,neuter_status
Transfer,Dog,Unknown,Pit Bull Mix,Blue/White,1,0.0,6,15,5,1,Unknown,Unknown
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,2.0,3,18,10,12,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Longhair Mix,Black,1,96.0,3,10,24,12,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,1,2.0,0,19,23,12,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,1,2.0,3,14,21,8,Female,Spayed
Transfer,Cat,Neutered Male,Domestic Longhair Mix,Brown Tabby/White,1,48.0,5,13,24,10,Male,Neutered
Adoption,Dog,Neutered Male,Chihuahua Shorthair Mix,White/Tan,1,2.0,2,17,9,10,Male,Neutered
Died,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,1,24.0,0,11,21,7,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Tortie,1,1.0,1,17,4,8,Female,Intact
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Blue Tabby,1,12.0,6,11,13,10,Male,Neutered
Transfer,Dog,Intact Female,Pit Bull Mix,Other,1,4.0,5,14,16,1,Female,Intact
Adoption,Dog,Spayed Female,Pit Bull Mix,Brown Brindle,1,60.0,3,15,5,11,Female,Spayed
Transfer,Dog,Spayed Female,Other,Buff,1,7.0,5,18,22,11,Female,Spayed
Transfer,Dog,Neutered Male,Other,Black/Brown,0,120.0,4,17,20,12,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,1,12.0,0,20,17,8,Female,Spayed
Transfer,Dog,Spayed Female,Other,Other,0,3.0,1,16,3,11,Female,Spayed
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Red/White,1,9.0,6,16,23,8,Male,Neutered
Adoption,Dog,Neutered Male,Border Collie Mix,Black/White,1,11.0,4,13,12,2,Male,Neutered
Return_to_owner,Dog,Neutered Male,Other,Tan/White,0,84.0,6,18,3,5,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Other,1,3.0,5,13,19,7,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,24.0,3,14,23,7,Male,Neutered
Transfer,Dog,Intact Female,Other,Other,0,0.75,2,15,4,2,Female,Intact
Adoption,Dog,Spayed Female,German Shepherd Mix,Black/Brown,1,8.0,2,10,5,11,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,1,12.0,5,9,17,1,Female,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,1,2.0,5,19,20,6,Male,Neutered
Adoption,Dog,Spayed Female,Labrador Retriever Mix,Black,1,24.0,5,18,27,9,Female,Spayed
Euthanasia,Cat,Intact Female,Domestic Medium Hair Mix,Black/White,1,12.0,2,16,27,5,Female,Intact
Return_to_owner,Dog,Intact Male,Other,Blue/White,0,36.0,4,15,27,3,Male,Intact
Adoption,Cat,Spayed Female,Domestic Longhair Mix,Calico,1,36.0,1,17,5,8,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,White/Black,1,48.0,4,8,30,5,Female,Intact
Return_to_owner,Dog,Spayed Female,Australian Shepherd Mix,Brown,1,24.0,2,13,22,10,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,1,12.0,6,17,19,1,Male,Intact
Transfer,Cat,Unknown,Other,Seal Point,1,24.0,2,15,28,5,Unknown,Unknown
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Black,1,4.0,0,9,8,12,Female,Intact
Adoption,Dog,Neutered Male,Other,White,1,60.0,1,16,25,8,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby/White,1,12.0,5,16,28,12,Female,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Calico,1,3.0,0,14,10,8,Female,Intact
Adoption,Dog,Neutered Male,Other,Tan,0,2.0,0,18,24,2,Male,Neutered
Transfer,Cat,Intact Female,Domestic Medium Hair Mix,Torbie,1,0.5,1,14,8,4,Female,Intact
Transfer,Dog,Neutered Male,Labrador Retriever Mix,Brown,1,120.0,3,16,21,1,Male,Neutered
Return_to_owner,Dog,Spayed Female,Labrador Retriever Mix,Black/White,1,108.0,0,18,30,3,Female,Spayed
Transfer,Dog,Intact Male,Other,Yellow,1,5.0,1,13,13,10,Male,Intact
Transfer,Cat,Intact Female,Domestic Medium Hair Mix,Lynx Point,1,48.0,1,9,14,7,Female,Intact
Return_to_owner,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,1,120.0,1,13,29,9,Female,Spayed
Adoption,Dog,Neutered Male,Other,Blue/White,0,2.0,3,12,24,7,Male,Neutered
Adoption,Dog,Neutered Male,Australian Cattle Dog Mix,Other,1,24.0,0,13,11,8,Male,Neutered
Adoption,Dog,Neutered Male,Other,Tricolor,0,12.0,2,16,24,12,Male,Neutered
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,1,2.0,1,0,11,8,Male,Neutered
Transfer,Dog,Neutered Male,Other,Tricolor,0,12.0,0,16,4,11,Male,Neutered
Adoption,Dog,Spayed Female,Other,Other,0,36.0,5,16,1,3,Female,Spayed
Adoption,Dog,Spayed Female,Pit Bull Mix,Black/White,1,24.0,6,18,20,4,Female,Spayed
Adoption,Dog,Spayed Female,Other,Black/Brown,0,24.0,6,18,3,8,Female,Spayed
Transfer,Dog,Neutered Male,Other,Other,1,84.0,0,11,16,6,Male,Neutered
Return_to_owner,Dog,Spayed Female,Labrador Retriever Mix,Black,1,24.0,4,12,19,9,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby/White,1,6.0,5,18,7,12,Female,Spayed
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Black,1,36.0,4,16,22,11,Male,Neutered
Transfer,Dog,Intact Male,Other,Other,0,1.0,4,16,5,6,Male,Intact
Return_to_owner,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/White,1,7.0,2,18,23,7,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black/White,1,0.0,1,8,19,8,Male,Intact
Euthanasia,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,24.0,6,15,27,12,Male,Intact
Transfer,Dog,Intact Male,Pit Bull Mix,White/Black,1,3.0,1,12,23,6,Male,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Blue Tabby,1,0.75,3,10,30,10,Unknown,Unknown
Adoption,Cat,Intact Female,Domestic Shorthair Mix,Calico,1,1.0,4,11,1,8,Female,Intact
Transfer,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/White,1,48.0,2,12,22,7,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Medium Hair Mix,Blue/White,1,3.0,5,17,12,9,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,1,12.0,6,9,23,3,Female,Spayed
Adoption,Dog,Spayed Female,Other,Black/White,0,12.0,2,14,1,1,Female,Spayed
Euthanasia,Cat,Spayed Female,Domestic Shorthair Mix,Other,1,120.0,0,19,1,12,Female,Spayed
Return_to_owner,Cat,Spayed Female,Domestic Longhair Mix,Brown Tabby,1,24.0,1,17,18,8,Female,Spayed
Adoption,Dog,Spayed Female,German Shepherd Mix,Tan/White,1,6.0,6,11,8,12,Female,Spayed
Return_to_owner,Dog,Neutered Male,Beagle Mix,Tricolor,1,48.0,4,14,29,1,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,1,36.0,5,17,3,10,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,1,4.0,4,15,9,10,Female,Spayed
Adoption,Cat,Neutered Male,Siamese Mix,Other,1,5.0,5,18,2,8,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair,Black/White,0,12.0,6,12,27,12,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby,1,2.0,5,18,8,11,Female,Spayed
Adoption,Dog,Spayed Female,Other,Tan,1,24.0,4,14,31,7,Female,Spayed
Return_to_owner,Dog,Spayed Female,Pit Bull Mix,Other,1,24.0,5,16,21,6,Female,Spayed
Transfer,Dog,Neutered Male,Other,White/Brown,0,12.0,0,12,9,12,Male,Neutered
Return_to_owner,Dog,Intact Male,Other,White,1,12.0,4,14,2,10,Male,Intact
Died,Cat,Intact Female,Domestic Shorthair Mix,Black,1,0.5,5,9,12,9,Female,Intact
Return_to_owner,Dog,Intact Female,Chihuahua Shorthair Mix,Brown,1,1.0,4,13,3,1,Female,Intact
Adoption,Dog,Spayed Female,Pit Bull Mix,Black/White,1,10.0,2,13,10,6,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,1,6.0,4,19,22,11,Female,Spayed
Transfer,Dog,Neutered Male,Labrador Retriever Mix,Black/White,1,36.0,6,14,2,2,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,1,3.0,4,8,15,1,Female,Spayed
Transfer,Cat,Unknown,Other,Black/White,0,24.0,0,9,9,2,Unknown,Unknown
Return_to_owner,Dog,Intact Male,Rottweiler Mix,Black/Tan,1,36.0,0,16,4,8,Male,Intact
Transfer,Dog,Intact Female,Labrador Retriever Mix,Black,1,12.0,0,17,14,10,Female,Intact
Transfer,Dog,Spayed Female,Pit Bull Mix,White/Black,1,3.0,5,15,6,12,Female,Spayed
Adoption,Dog,Neutered Male,Other,Other,0,24.0,0,12,4,1,Male,Neutered
Adoption,Dog,Neutered Male,Other,Black/White,0,5.0,2,11,25,3,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,1,2.0,6,17,13,10,Female,Spayed
Return_to_owner,Dog,Spayed Female,Other,Brown,0,36.0,4,11,21,3,Female,Spayed
Adoption,Dog,Neutered Male,Other,Black/White,0,24.0,5,14,6,6,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,1,3.0,3,10,12,11,Female,Spayed
Adoption,Cat,Neutered Male,Other,White/Blue,1,3.0,6,12,2,8,Male,Neutered
Transfer,Dog,Spayed Female,Other,Red,1,12.0,6,11,7,12,Female,Spayed
Adoption,Dog,Neutered Male,Australian Cattle Dog Mix,Brown/White,1,12.0,2,12,14,1,Male,Neutered
Transfer,Dog,Spayed Female,Other,Other,0,60.0,1,17,22,4,Female,Spayed
Adoption,Dog,Spayed Female,Other,White,1,84.0,5,12,10,10,Female,Spayed
Transfer,Dog,Unknown,Labrador Retriever Mix,Black,1,0.25,5,14,28,6,Unknown,Unknown
Transfer,Cat,Neutered Male,Other,Blue/White,1,96.0,1,11,31,3,Male,Neutered
Adoption,Dog,Neutered Male,Dachshund Mix,Brown Brindle,1,4.0,3,17,17,7,Male,Neutered
Transfer,Dog,Intact Female,Chihuahua Shorthair Mix,Black/White,1,144.0,6,10,23,2,Female,Intact
Adoption,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan/White,1,24.0,6,13,7,12,Female,Spayed
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,1,8.0,0,14,28,12,Male,Neutered
Adoption,Dog,Spayed Female,Other,Brown/Black,0,24.0,5,18,16,11,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,0.5,4,14,18,7,Male,Intact
Adoption,Dog,Neutered Male,Siberian Husky Mix,White/Black,1,48.0,6,17,1,3,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair,Other,0,2.0,1,15,31,12,Male,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Other,1,24.0,0,11,26,5,Male,Neutered
Adoption,Dog,Spayed Female,Other,White,1,72.0,6,19,9,3,Female,Spayed
Transfer,Dog,Neutered Male,Miniature Poodle Mix,White,1,24.0,2,23,8,4,Male,Neutered
Transfer,Dog,Intact Male,Other,Brown/White,0,12.0,6,0,1,11,Male,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Tortie,1,2.0,1,15,8,7,Female,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,2.0,1,17,16,9,Male,Neutered
Transfer,Cat,Neutered Male,Domestic Medium Hair Mix,Orange Tabby/White,1,2.0,3,12,20,11,Male,Neutered
Euthanasia,Cat,Intact Male,Siamese Mix,Other,1,24.0,3,10,18,2,Male,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,1,12.0,4,9,4,10,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Medium Hair Mix,Black/White,1,1.0,1,17,30,6,Male,Neutered
Return_to_owner,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,1,96.0,5,9,21,6,Male,Neutered
Return_to_owner,Dog,Spayed Female,Other,White,1,156.0,5,13,16,11,Female,Spayed
Return_to_owner,Dog,Neutered Male,Other,Black/White,0,24.0,6,14,3,1,Male,Neutered
Transfer,Cat,Intact Female,Siamese Mix,Lynx Point,1,24.0,0,9,11,5,Female,Intact
Adoption,Dog,Intact Male,Labrador Retriever Mix,Black/White,1,12.0,1,16,14,7,Male,Intact
Transfer,Cat,Intact Male,Domestic Shorthair Mix,White/Blue,1,1.0,2,14,6,8,Male,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,1,2.0,2,11,3,6,Male,Neutered
Return_to_owner,Dog,Intact Male,Miniature Poodle Mix,White,1,24.0,2,17,1,7,Male,Intact
Adoption,Cat,Spayed Female,Other,Torbie,1,96.0,4,16,28,2,Female,Spayed
Return_to_owner,Dog,Neutered Male,Other,Black/Tan,0,24.0,4,16,28,3,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby,1,2.0,4,17,1,5,Female,Spayed
Adoption,Dog,Spayed Female,German Shepherd Mix,Other,1,7.0,0,16,1,9,Female,Spayed
Euthanasia,Cat,Intact Male,Domestic Shorthair Mix,Black,1,10.0,5,16,27,6,Male,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby,1,4.0,6,14,13,10,Female,Spayed
Transfer,Dog,Intact Male,Other,Black/Tan,1,12.0,2,16,2,10,Male,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Other,1,2.0,6,19,13,7,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,1,1.0,1,13,17,6,Female,Intact
Adoption,Dog,Neutered Male,Other,Red/White,0,7.0,0,16,20,1,Male,Neutered
Transfer,Dog,Intact Female,Other,Black/Brown,1,0.75,2,14,20,8,Female,Intact
Transfer,Cat,Unknown,Domestic Longhair Mix,Brown Tabby,1,0.75,0,14,29,6,Unknown,Unknown
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Other,1,7.0,6,18,19,10,Male,Neutered
Transfer,Dog,Intact Male,German Shepherd Mix,Tan/Black,1,8.0,5,16,29,8,Male,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,1,2.0,5,19,18,7,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,1,12.0,5,11,12,7,Female,Spayed
Adoption,Cat,Neutered Male,Siamese Mix,Other,1,72.0,2,16,26,8,Male,Neutered
Return_to_owner,Dog,Spayed Female,Labrador Retriever Mix,Other,1,12.0,2,16,2,12,Female,Spayed
Died,Cat,Intact Female,Domestic Shorthair Mix,Other,1,1.0,5,9,11,7,Female,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Other,1,1.0,6,14,20,7,Female,Intact
Adoption,Dog,Neutered Male,Other,White,0,12.0,6,13,27,9,Male,Neutered
Return_to_owner,Cat,Spayed Female,Other,Other,1,12.0,5,14,15,3,Female,Spayed
Adoption,Dog,Spayed Female,Other,Other,0,2.0,6,17,17,8,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,0.5,5,13,25,10,Male,Intact
Transfer,Dog,Neutered Male,Other,White,1,6.0,2,16,30,12,Male,Neutered
Adoption,Dog,Neutered Male,Pit Bull Mix,White/Black,1,12.0,6,17,22,11,Male,Neutered
Adoption,Dog,Spayed Female,Labrador Retriever Mix,Other,1,2.0,4,13,12,6,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,1,132.0,2,18,30,12,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,4.0,2,9,21,10,Male,Intact
Return_to_owner,Dog,Intact Female,Boxer Mix,Brown/White,1,24.0,1,16,14,10,Female,Intact
Return_to_owner,Dog,Spayed Female,Miniature Poodle Mix,White,1,60.0,2,17,25,2,Female,Spayed
Transfer,Cat,Unknown,Domestic Longhair Mix,Blue Tabby/White,1,1.0,5,12,26,10,Unknown,Unknown
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Calico,1,0.5,0,17,29,6,Female,Intact
Transfer,Dog,Intact Female,Labrador Retriever Mix,Black/White,1,0.0,5,11,31,5,Female,Intact
Adoption,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,1,12.0,5,18,9,1,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Medium Hair Mix,Brown Tabby,1,12.0,0,0,4,1,Female,Spayed
Return_to_owner,Dog,Spayed Female,Other,Black/White,1,12.0,6,15,17,1,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,White/Black,1,1.0,4,16,18,7,Female,Intact
Return_to_owner,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Brown,1,6.0,3,16,9,7,Female,Spayed
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,1,8.0,3,14,19,6,Female,Spayed
Adoption,Dog,Neutered Male,Other,Other,0,12.0,6,12,4,5,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby,1,6.0,3,14,18,9,Female,Spayed
Euthanasia,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,1,108.0,1,8,1,12,Female,Spayed
Euthanasia,Cat,Spayed Female,Domestic Shorthair Mix,Black,1,144.0,0,9,8,6,Female,Spayed
Transfer,Cat,Spayed Female,Other,Other,1,36.0,6,0,7,2,Female,Spayed
Adoption,Dog,Spayed Female,Pit Bull Mix,Brown Brindle,1,24.0,6,16,7,12,Female,Spayed
Adoption,Dog,Neutered Male,Other,Black/White,1,12.0,0,13,25,5,Male,Neutered
Adoption,Dog,Spayed Female,Other,Black/Tan,0,7.0,1,7,29,9,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,White,1,2.0,6,14,1,6,Female,Intact
Transfer,Dog,Neutered Male,Other,Brown,1,4.0,0,11,6,10,Male,Neutered
Adoption,Cat,Neutered Male,Other,Seal Point,0,12.0,5,16,30,8,Male,Neutered
Adoption,Dog,Neutered Male,Yorkshire Terrier Mix,Other,1,72.0,3,11,7,8,Male,Neutered
Adoption,Dog,Neutered Male,Border Collie Mix,Black/White,1,24.0,5,19,31,5,Male,Neutered
Transfer,Dog,Intact Male,German Shepherd Mix,Black/Tan,1,1.0,1,18,19,11,Male,Intact
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,0.75,5,12,30,8,Male,Intact
Euthanasia,Dog,Intact Female,Other,Black/White,1,24.0,2,11,12,2,Female,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,1,24.0,6,9,1,2,Female,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Blue Tabby,1,3.0,1,18,2,12,Male,Neutered
Return_to_owner,Dog,Neutered Male,Other,Other,1,72.0,6,14,10,11,Male,Neutered
Adoption,Dog,Neutered Male,Chihuahua Shorthair Mix,Tricolor,1,12.0,1,19,26,5,Male,Neutered
Transfer,Dog,Spayed Female,Other,Other,0,24.0,3,13,17,4,Female,Spayed
Transfer,Cat,Spayed Female,Domestic Shorthair,Calico,0,24.0,4,14,31,1,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,1,12.0,3,17,10,4,Male,Neutered
Transfer,Dog,Neutered Male,Labrador Retriever Mix,Brown/White,1,2.0,6,12,30,3,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,3.0,6,18,19,7,Male,Neutered
Transfer,Cat,Unknown,Domestic Shorthair Mix,White,1,0.25,4,12,2,10,Unknown,Unknown
Return_to_owner,Dog,Spayed Female,Australian Cattle Dog Mix,Other,1,9.0,0,16,11,11,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,White/Black,1,2.0,5,16,7,12,Female,Spayed
Adoption,Dog,Spayed Female,Other,Black/White,0,24.0,5,18,5,7,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black,1,1.0,3,13,8,10,Male,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,1,12.0,2,15,26,2,Unknown,Unknown
Transfer,Dog,Spayed Female,Dachshund Mix,Black/Brown,1,12.0,1,15,30,12,Female,Spayed
Adoption,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White,1,60.0,6,18,30,8,Male,Neutered
Transfer,Dog,Spayed Female,Labrador Retriever Mix,Red/White,1,84.0,2,16,29,4,Female,Spayed
Return_to_owner,Dog,Spayed Female,Cairn Terrier Mix,Other,1,24.0,5,11,9,5,Female,Spayed
Adoption,Dog,Intact Female,Chihuahua Shorthair Mix,Black/White,1,11.0,2,16,20,8,Female,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,2.0,3,18,10,10,Male,Neutered
Transfer,Dog,Intact Female,Chihuahua Shorthair Mix,Tan/White,1,36.0,1,13,1,9,Female,Intact
Transfer,Dog,Neutered Male,Labrador Retriever Mix,Other,1,24.0,4,15,7,2,Male,Neutered
Transfer,Dog,Intact Male,American Bulldog Mix,White/Tan,1,0.0,6,14,31,5,Male,Intact
Adoption,Dog,Neutered Male,Other,Black/White,0,11.0,5,18,31,1,Male,Neutered
Adoption,Dog,Neutered Male,Other,Brown/Black,1,2.0,5,18,13,12,Male,Neutered
Return_to_owner,Dog,Spayed Female,Pit Bull Mix,White/Tan,1,48.0,1,13,20,1,Female,Spayed
Adoption,Dog,Neutered Male,Border Collie Mix,Black/White,1,8.0,6,16,23,11,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Other,1,2.0,5,14,30,8,Male,Neutered
Return_to_owner,Dog,Neutered Male,Australian Cattle Dog Mix,Other,1,12.0,1,12,14,10,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Calico,1,12.0,4,13,27,12,Female,Spayed
Return_to_owner,Dog,Spayed Female,Australian Shepherd Mix,Other,1,48.0,6,18,5,7,Female,Spayed
Transfer,Dog,Intact Female,Other,White,0,0.0,0,15,4,11,Female,Intact
Adoption,Dog,Spayed Female,Yorkshire Terrier Mix,Other,1,24.0,0,17,27,1,Female,Spayed
Adoption,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Brown,1,24.0,6,18,21,2,Male,Neutered
Adoption,Dog,Neutered Male,German Shepherd Mix,Other,1,24.0,5,16,14,2,Male,Neutered
Adoption,Dog,Spayed Female,Border Collie Mix,Black,1,96.0,6,13,5,7,Female,Spayed
Died,Dog,Intact Male,German Shepherd Mix,Black/Brown,1,60.0,6,13,1,2,Male,Intact
Transfer,Cat,Intact Male,Domestic Medium Hair Mix,Black,1,0.75,5,15,26,4,Male,Intact
Return_to_owner,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,1,48.0,0,12,22,9,Female,Spayed
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Other,1,84.0,1,14,25,11,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Black,1,12.0,1,15,7,10,Female,Spayed
Return_to_owner,Dog,Neutered Male,Labrador Retriever Mix,Brown Brindle,1,72.0,6,14,25,5,Male,Neutered
Adoption,Dog,Neutered Male,Pit Bull Mix,Brown/White,1,12.0,6,17,2,2,Male,Neutered
Transfer,Dog,Intact Male,Dachshund Mix,Red/White,1,2.0,6,16,22,6,Male,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby,1,0.0,6,13,4,5,Female,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Blue Tabby,1,0.0,0,18,8,9,Unknown,Unknown
Transfer,Dog,Intact Male,Other,Black,1,0.5,4,16,26,12,Male,Intact
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,1,12.0,2,18,16,12,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,1,2.0,5,17,29,8,Female,Spayed
Adoption,Dog,Spayed Female,Other,Tricolor,1,24.0,5,13,27,12,Female,Spayed
Transfer,Cat,Unknown,Domestic Medium Hair Mix,Brown Tabby,1,1.0,1,13,27,10,Unknown,Unknown
Adoption,Cat,Intact Male,Domestic Shorthair Mix,Black,1,2.0,6,12,30,8,Male,Intact
Return_to_owner,Dog,Intact Male,Other,Tan,0,24.0,5,12,11,4,Male,Intact
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,1,6.0,5,12,21,11,Female,Spayed
Transfer,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,1,12.0,1,9,29,9,Unknown,Unknown
Euthanasia,Dog,Intact Male,Other,Tan,0,48.0,6,18,15,6,Male,Intact
Adoption,Dog,Spayed Female,Other,Tricolor,0,1.0,6,13,2,8,Female,Spayed
Return_to_owner,Dog,Neutered Male,Pit Bull Mix,Brown/Black,1,12.0,5,17,30,1,Male,Neutered
Return_to_owner,Dog,Neutered Male,Australian Shepherd Mix,Black/Brown,1,36.0,3,17,4,6,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Other,1,2.0,2,13,11,11,Male,Neutered
Transfer,Dog,Intact Female,Other,Other,0,3.0,6,15,29,6,Female,Intact
Return_to_owner,Dog,Neutered Male,Other,Brown,0,36.0,6,12,26,1,Male,Neutered
Transfer,Dog,Intact Male,Other,Cream,0,24.0,1,15,16,9,Male,Intact
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,White/Blue,1,24.0,0,12,5,5,Female,Spayed
Transfer,Dog,Spayed Female,Other,White/Brown,1,10.0,1,12,10,11,Female,Spayed
Euthanasia,Cat,Unknown,Domestic Shorthair Mix,Other,1,0.25,2,14,12,8,Unknown,Unknown
Return_to_owner,Dog,Neutered Male,Other,Brown,0,48.0,6,14,22,3,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Other,1,12.0,6,15,13,10,Female,Intact
Return_to_owner,Dog,Neutered Male,Other,Brown/White,1,24.0,6,17,1,12,Male,Neutered
Adoption,Dog,Spayed Female,German Shepherd Mix,Tan/Black,1,24.0,5,14,11,7,Female,Spayed
Adoption,Dog,Neutered Male,Other,Black/Tan,1,24.0,0,17,7,10,Male,Neutered
Adoption,Dog,Spayed Female,Other,Other,0,12.0,2,17,28,5,Female,Spayed
Return_to_owner,Dog,Spayed Female,Beagle Mix,Tricolor,1,84.0,1,11,23,12,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,1,3.0,5,12,14,11,Female,Spayed
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,1,4.0,1,0,1,9,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,3.0,5,9,16,5,Male,Intact
